"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"Southwest","GISS-E2-2-G",2,93.1,6.9
"Southwest","GISS-E2-2-G",3,94.3,5.7
"Southwest","IITM-ESM",1,83.9,16.1
"Southwest","IITM-ESM",2,89.1,10.9
"Southwest","IITM-ESM",3,90.9,9.1
"Southwest","INM-CM4-8",1,76.5,23.5
"Southwest","INM-CM4-8",2,84.9,15.1
"Southwest","INM-CM4-8",3,86,14
"Southwest","INM-CM5-0",1,85,15
"Southwest","INM-CM5-0",2,89.3,10.7
"Southwest","INM-CM5-0",3,92.7,7.3
"Southwest","IPSL-CM6A-LR",1,81.5,18.5
"Southwest","IPSL-CM6A-LR",2,81.5,18.5
"Southwest","IPSL-CM6A-LR",3,83.8,16.2
"Southwest","KACE-1-0-G",1,85.9,14.1
"Southwest","KACE-1-0-G",2,89.7,10.3
"Southwest","KACE-1-0-G",3,90.2,9.8
"Southwest","MCM-UA-1-0",1,68.1,31.9
"Southwest","MCM-UA-1-0",2,74.4,25.6
"Southwest","MCM-UA-1-0",3,81.2,18.8
"Southwest","MIROC6",1,65.8,34.2
"Southwest","MIROC6",2,73.9,26.1
"Southwest","MIROC6",3,78.9,21.1
"Southwest","MPI-ESM1-2-HR",1,83.2,16.8
"Southwest","MPI-ESM1-2-HR",2,91,9
"Southwest","MPI-ESM1-2-HR",3,91,9
"Southwest","MPI-ESM1-2-LR",1,76.2,23.8
"Southwest","MPI-ESM1-2-LR",2,83.1,16.9
"Southwest","MPI-ESM1-2-LR",3,87.3,12.7
"Southwest","MRI-ESM2-0",1,70.2,29.8
"Southwest","MRI-ESM2-0",2,80.6,19.4
"Southwest","MRI-ESM2-0",3,86.6,13.4
"Southwest","NorESM2-LM",1,78.9,21.1
"Southwest","NorESM2-LM",2,85.8,14.2
"Southwest","NorESM2-LM",3,88.1,11.9
"Southwest","NorESM2-MM",1,66.4,33.6
"Southwest","NorESM2-MM",2,73.1,26.9
"Southwest","NorESM2-MM",3,74.7,25.3
"Southwest","TaiESM1",1,83.6,16.4
"Southwest","TaiESM1",2,90.3,9.7
"Southwest","TaiESM1",3,93.4,6.6
"Southwest","UKESM1-0-LL",1,75.5,24.5
"Southwest","UKESM1-0-LL",2,81.4,18.6
"Southwest","UKESM1-0-LL",3,84.2,15.8
"GreatPlainsNorth","ACCESS-CM2",1,93.1,6.9
"GreatPlainsNorth","ACCESS-CM2",2,97.2,2.8
"GreatPlainsNorth","ACCESS-CM2",3,97.2,2.8
"GreatPlainsNorth","ACCESS-ESM1-5",1,78,22
"GreatPlainsNorth","ACCESS-ESM1-5",2,87.8,12.2
"GreatPlainsNorth","ACCESS-ESM1-5",3,86.7,13.3
"GreatPlainsNorth","AWI-CM-1-1-MR",1,87.9,12.1
"GreatPlainsNorth","AWI-CM-1-1-MR",2,94.8,5.2
"GreatPlainsNorth","AWI-CM-1-1-MR",3,92.1,7.9
"GreatPlainsNorth","BCC-CSM2-MR",1,89.9,10.1
"GreatPlainsNorth","BCC-CSM2-MR",2,93.9,6.1
"GreatPlainsNorth","BCC-CSM2-MR",3,95.8,4.2
"GreatPlainsNorth","CAMS-CSM1-0",1,94.8,5.2
"GreatPlainsNorth","CAMS-CSM1-0",2,98.6,1.4
"GreatPlainsNorth","CAMS-CSM1-0",3,98.6,1.4
"GreatPlainsNorth","CAS-ESM2-0",1,97.4,2.6
"GreatPlainsNorth","CAS-ESM2-0",2,99.2,0.8
"GreatPlainsNorth","CAS-ESM2-0",3,98.9,1.1
"GreatPlainsNorth","CESM2",1,93.6,6.4
"GreatPlainsNorth","CESM2",2,96.4,3.6
"GreatPlainsNorth","CESM2",3,96,4
"GreatPlainsNorth","CESM2-WACCM",1,78,22
"GreatPlainsNorth","CESM2-WACCM",2,93.9,6.1
"GreatPlainsNorth","CESM2-WACCM",3,93.8,6.2
"GreatPlainsNorth","CMCC-CM2-SR5",1,81.5,18.5
"GreatPlainsNorth","CMCC-CM2-SR5",2,91.7,8.3
"GreatPlainsNorth","CMCC-CM2-SR5",3,93.2,6.8
"GreatPlainsNorth","CMCC-ESM2",1,81.2,18.8
"GreatPlainsNorth","CMCC-ESM2",2,92.3,7.7
"GreatPlainsNorth","CMCC-ESM2",3,93.2,6.8
"GreatPlainsNorth","CNRM-CM6-1",1,86.7,13.3
"GreatPlainsNorth","CNRM-CM6-1",2,88.7,11.3
"GreatPlainsNorth","CNRM-CM6-1",3,90.4,9.6
"GreatPlainsNorth","CNRM-CM6-1-HR",1,90.2,9.8
"GreatPlainsNorth","CNRM-CM6-1-HR",2,93.4,6.6
"GreatPlainsNorth","CNRM-CM6-1-HR",3,94.6,5.4
"GreatPlainsNorth","CNRM-ESM2-1",1,79.5,20.5
"GreatPlainsNorth","CNRM-ESM2-1",2,89.2,10.8
"GreatPlainsNorth","CNRM-ESM2-1",3,88.7,11.3
"GreatPlainsNorth","EC-Earth3",1,91.9,8.1
"GreatPlainsNorth","EC-Earth3",2,94.8,5.2
"GreatPlainsNorth","EC-Earth3",3,92.7,7.3
"GreatPlainsNorth","EC-Earth3-Veg",1,91,9
"GreatPlainsNorth","EC-Earth3-Veg",2,93.6,6.4
"GreatPlainsNorth","EC-Earth3-Veg",3,93.5,6.5
"GreatPlainsNorth","EC-Earth3-Veg-LR",1,91.9,8.1
"GreatPlainsNorth","EC-Earth3-Veg-LR",2,95,5
"GreatPlainsNorth","EC-Earth3-Veg-LR",3,94.1,5.9
"GreatPlainsNorth","FGOALS-f3-L",1,98,2
"GreatPlainsNorth","FGOALS-f3-L",2,99.2,0.8
"GreatPlainsNorth","FGOALS-f3-L",3,97.7,2.3
"GreatPlainsNorth","FGOALS-g3",1,90.8,9.2
"GreatPlainsNorth","FGOALS-g3",2,95.3,4.7
"GreatPlainsNorth","FGOALS-g3",3,95.8,4.2
"GreatPlainsNorth","GFDL-ESM4",1,90.2,9.8
"GreatPlainsNorth","GFDL-ESM4",2,96.1,3.9
"GreatPlainsNorth","GFDL-ESM4",3,95.8,4.2
"GreatPlainsNorth","GISS-E2-1-G",1,89.9,10.1
"GreatPlainsNorth","GISS-E2-1-G",2,95.3,4.7
"GreatPlainsNorth","GISS-E2-1-G",3,96.3,3.7
"GreatPlainsNorth","GISS-E2-1-H",1,90.2,9.8
"GreatPlainsNorth","GISS-E2-1-H",2,92.8,7.2
"GreatPlainsNorth","GISS-E2-1-H",3,94.4,5.6
"GreatPlainsNorth","GISS-E2-2-G",1,94.8,5.2
"GreatPlainsNorth","GISS-E2-2-G",2,99.2,0.8
"GreatPlainsNorth","GISS-E2-2-G",3,98.9,1.1
"GreatPlainsNorth","IITM-ESM",1,87.9,12.1
"GreatPlainsNorth","IITM-ESM",2,95.9,4.1
"GreatPlainsNorth","IITM-ESM",3,96.3,3.7
"GreatPlainsNorth","INM-CM4-8",1,91.3,8.7
"GreatPlainsNorth","INM-CM4-8",2,96.1,3.9
"GreatPlainsNorth","INM-CM4-8",3,98,2
"GreatPlainsNorth","INM-CM5-0",1,94.5,5.5
"GreatPlainsNorth","INM-CM5-0",2,98.3,1.7
"GreatPlainsNorth","INM-CM5-0",3,99.2,0.8
"GreatPlainsNorth","IPSL-CM6A-LR",1,89.3,10.7
"GreatPlainsNorth","IPSL-CM6A-LR",2,92.5,7.5
"GreatPlainsNorth","IPSL-CM6A-LR",3,92.1,7.9
"GreatPlainsNorth","KACE-1-0-G",1,90.2,9.8
"GreatPlainsNorth","KACE-1-0-G",2,92.8,7.2
"GreatPlainsNorth","KACE-1-0-G",3,92.7,7.3
"GreatPlainsNorth","MCM-UA-1-0",1,89.6,10.4
"GreatPlainsNorth","MCM-UA-1-0",2,95.3,4.7
"GreatPlainsNorth","MCM-UA-1-0",3,94.6,5.4
"GreatPlainsNorth","MIROC6",1,86.7,13.3
"GreatPlainsNorth","MIROC6",2,96.1,3.9
"GreatPlainsNorth","MIROC6",3,95.8,4.2
"GreatPlainsNorth","MPI-ESM1-2-HR",1,91.6,8.4
"GreatPlainsNorth","MPI-ESM1-2-HR",2,96.1,3.9
"GreatPlainsNorth","MPI-ESM1-2-HR",3,96.6,3.4
"GreatPlainsNorth","MPI-ESM1-2-LR",1,89.3,10.7
"GreatPlainsNorth","MPI-ESM1-2-LR",2,95,5
"GreatPlainsNorth","MPI-ESM1-2-LR",3,95.2,4.8
"GreatPlainsNorth","MRI-ESM2-0",1,92.2,7.8
"GreatPlainsNorth","MRI-ESM2-0",2,97.8,2.2
"GreatPlainsNorth","MRI-ESM2-0",3,93.8,6.2
"GreatPlainsNorth","NorESM2-LM",1,93.9,6.1
"GreatPlainsNorth","NorESM2-LM",2,97.8,2.2
"GreatPlainsNorth","NorESM2-LM",3,97.2,2.8
"GreatPlainsNorth","NorESM2-MM",1,94.8,5.2
"GreatPlainsNorth","NorESM2-MM",2,97,3
"GreatPlainsNorth","NorESM2-MM",3,97.5,2.5
"GreatPlainsNorth","TaiESM1",1,93.6,6.4
"GreatPlainsNorth","TaiESM1",2,93.9,6.1
"GreatPlainsNorth","TaiESM1",3,95.5,4.5
"GreatPlainsNorth","UKESM1-0-LL",1,85.3,14.7
"GreatPlainsNorth","UKESM1-0-LL",2,93.1,6.9
"GreatPlainsNorth","UKESM1-0-LL",3,94.9,5.1
"GreatPlainsSouth","ACCESS-CM2",1,77.8,22.2
"GreatPlainsSouth","ACCESS-CM2",2,82.6,17.4
"GreatPlainsSouth","ACCESS-CM2",3,86.6,13.4
"GreatPlainsSouth","ACCESS-ESM1-5",1,76.9,23.1
"GreatPlainsSouth","ACCESS-ESM1-5",2,80.8,19.2
"GreatPlainsSouth","ACCESS-ESM1-5",3,83.7,16.3
"GreatPlainsSouth","AWI-CM-1-1-MR",1,96.3,3.7
"GreatPlainsSouth","AWI-CM-1-1-MR",2,98.7,1.3
"GreatPlainsSouth","AWI-CM-1-1-MR",3,98,2
"GreatPlainsSouth","BCC-CSM2-MR",1,81.5,18.5
"GreatPlainsSouth","BCC-CSM2-MR",2,89.5,10.5
"GreatPlainsSouth","BCC-CSM2-MR",3,92,8
"GreatPlainsSouth","CAMS-CSM1-0",1,88.7,11.3
"GreatPlainsSouth","CAMS-CSM1-0",2,93.5,6.5
"GreatPlainsSouth","CAMS-CSM1-0",3,95.5,4.5
"GreatPlainsSouth","CAS-ESM2-0",1,94.7,5.3
"GreatPlainsSouth","CAS-ESM2-0",2,98.7,1.3
"GreatPlainsSouth","CAS-ESM2-0",3,97.8,2.2
"GreatPlainsSouth","CESM2",1,77.8,22.2
"GreatPlainsSouth","CESM2",2,82.3,17.7
"GreatPlainsSouth","CESM2",3,79.3,20.7
"GreatPlainsSouth","CESM2-WACCM",1,58.2,41.8
"GreatPlainsSouth","CESM2-WACCM",2,62,38
"GreatPlainsSouth","CESM2-WACCM",3,52.6,47.4
"GreatPlainsSouth","CMCC-CM2-SR5",1,82,18
"GreatPlainsSouth","CMCC-CM2-SR5",2,90.2,9.8
"GreatPlainsSouth","CMCC-CM2-SR5",3,88.9,11.1
"GreatPlainsSouth","CMCC-ESM2",1,86.1,13.9
"GreatPlainsSouth","CMCC-ESM2",2,89.3,10.7
"GreatPlainsSouth","CMCC-ESM2",3,90.2,9.8
"GreatPlainsSouth","CNRM-CM6-1",1,78.8,21.2
"GreatPlainsSouth","CNRM-CM6-1",2,81.7,18.3
"GreatPlainsSouth","CNRM-CM6-1",3,81.3,18.7
"GreatPlainsSouth","CNRM-CM6-1-HR",1,95.2,4.8
"GreatPlainsSouth","CNRM-CM6-1-HR",2,96,4
"GreatPlainsSouth","CNRM-CM6-1-HR",3,97.3,2.7
"GreatPlainsSouth","CNRM-ESM2-1",1,90.1,9.9
"GreatPlainsSouth","CNRM-ESM2-1",2,94.2,5.8
"GreatPlainsSouth","CNRM-ESM2-1",3,95.5,4.5
"GreatPlainsSouth","EC-Earth3",1,83.6,16.4
"GreatPlainsSouth","EC-Earth3",2,89.7,10.3
"GreatPlainsSouth","EC-Earth3",3,89.5,10.5
