"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"Annual","01017000",NA,NA,NA,NA,0.0666666666666667,0.0333333333333334
"SON","01018500",-0.000792579594427585,0.0079725396237172,0,0,0,0
"DJF","01018500",-0.0611346379610547,-0.0641077972147746,0,0,0,0
"MAM","01018500",0.0672668731924416,0.029370761733106,-0.03125,-0.142857142857143,0.233333333333333,0.2
"JJA","01018500",-0.00533965563695937,0.0267644958579512,0.03125,0.142857142857143,0.0333333333333333,0.166666666666667
"Annual","01018500",NA,NA,NA,NA,0.566666666666667,0.633333333333333
"SON","01019000",-0.00933451820978011,-0.0075754413470651,0,0,0,0
"DJF","01019000",-0.0587406222613928,-0.066261119299008,0,0,0,0
"MAM","01019000",0.122915434876608,0.118342278497572,0,0,0.733333333333333,0.6
"JJA","01019000",-0.0548402944054349,-0.0445057178514991,0,0,0,0
"Annual","01019000",NA,NA,NA,NA,0.3,0.133333333333333
"SON","01021000",0.00506218240112929,0.00394274911507078,0,0,0,0
"DJF","01021000",0.043497036142184,0.0479529459218234,0,0,0,0
"MAM","01021000",-0.0636122298156303,-0.0854448346712006,0,0,0,0
"JJA","01021000",0.015053011272317,0.0335491396343062,0,0,0,0
"Annual","01021000",NA,NA,NA,NA,0.6,0.566666666666667
"SON","01022500",0.000382068288534682,0.0171939388609077,0,0,0,0
"DJF","01022500",0.0395954240284316,0.0486388830194349,0.197435897435897,0.216666666666667,0.266666666666667,0.3
"MAM","01022500",-0.0399774923169661,-0.0658328218803425,-0.197435897435897,-0.216666666666667,0.0333333333333333,0.0333333333333333
"JJA","01022500",0,0,0,0,0,0
"Annual","01022500",NA,NA,NA,NA,0.633333333333334,0.5
"SON","01030500",0.0155685421827258,0.00975485625111296,0,0,0,0
"DJF","01030500",0.0369433766297247,0.0295434559884001,0,0,0,0
"MAM","01030500",-0.0587537517875626,-0.0534256494735892,0,0,0,0
"JJA","01030500",0.00624183297511195,0.0141273372340761,0,0,0,0
"Annual","01030500",NA,NA,NA,NA,0.133333333333334,0.0666666666666667
"SON","01031500",-0.00139915976242416,-0.0155063034045393,0.032258064516129,0,0.0333333333333333,0
"DJF","01031500",0.0456750689366801,0.05227630633497,0,0.032258064516129,0,0.0333333333333333
"MAM","01031500",-0.0550432691544956,-0.0669248137064827,-0.032258064516129,-0.032258064516129,0,0
"JJA","01031500",0.0107673599802398,0.0301548107760521,0,0,0,0
"Annual","01031500",NA,NA,NA,NA,0.266666666666667,0.433333333333333
"SON","01034000",0.0014352814345458,-0.00786689534127574,0,0,0,0
"DJF","01034000",0.0460150311803825,0.0551583319130386,0.0625,0.0625,0.0666666666666667,0.0666666666666667
"MAM","01034000",-0.0567859435279786,-0.067804610434934,-0.0625,-0.0625,0,0
"JJA","01034000",0.0093356309130502,0.0205131738631711,0,0,0,0
"Annual","01034000",NA,NA,NA,NA,0.266666666666667,0.4
"SON","01034500",0.00282173251816326,-0.00409227620309906,0,0,0,0
"DJF","01034500",0.0451902844833004,0.0565170549702571,0,0,0,0
"MAM","01034500",-0.0528826626732823,-0.0667612630407166,0,0,0,0
"JJA","01034500",0.00487064567181879,0.0143364842735587,0,0,0,0
"Annual","01034500",NA,NA,NA,NA,0.4,0.433333333333333
"SON","01038000",0.0211352959195564,0.0176595624544318,0,0,0,0
"DJF","01038000",0.110566019517226,0.12285387220451,0.08,0.2,0.0666666666666667,0.166666666666667
"MAM","01038000",-0.136865525135189,-0.159166618636451,-0.08,-0.2,-0.233333333333333,-0.333333333333333
"JJA","01038000",0.00516420969840647,0.0186531839775098,0,0,0,0
"Annual","01038000",NA,NA,NA,NA,0,-0.0333333333333334
"SON","01042500",0.013694095102754,0.01925808800014,0,0,0,0
"DJF","01042500",-0.00924235462990463,-0.013552630449859,0,0,0,0
"MAM","01042500",0.0111665589703603,-0.016544376276633,-0.0303030303030303,-0.142857142857143,0.133333333333333,0.0666666666666667
"JJA","01042500",-0.0156182994432097,0.010838918726352,0.0303030303030303,0.142857142857143,0.0333333333333333,0.166666666666667
"Annual","01042500",NA,NA,NA,NA,0.666666666666667,0.9
"SON","01046500",-0.0117803551915142,-0.0180615416624837,0,0,0,0
"DJF","01046500",0.0168255801501068,0.0228873318151838,0,0,0,0
"MAM","01046500",-0.00242183823111974,-0.0282676535750037,0,0,0.0666666666666667,0.0333333333333334
"JJA","01046500",-0.00262338672747281,0.0234418634223038,0,0,0,0
"Annual","01046500",NA,NA,NA,NA,0.633333333333333,1
"SON","01047000",0.00305806564860575,-0.0167886707805911,0,0,0,0
"DJF","01047000",0.0261690564430896,0.0369906490075999,0,0,0,0
"MAM","01047000",-0.0330946869207034,-0.0407233021254453,0,0,0,0
"JJA","01047000",0.00386756482900807,0.0205213238984365,0,0,0,0
"Annual","01047000",NA,NA,NA,NA,0.4,0.5
"SON","01048000",-0.00506938047269259,-0.0140395408471862,0,0,0,0
"DJF","01048000",0.0469145002910329,0.0384089514278774,0,0,0,0
"MAM","01048000",-0.0553937876978637,-0.0620309080876594,0,0,0,0
"JJA","01048000",0.0135486678795236,0.0376614975069683,0,0,0,0
"Annual","01048000",NA,NA,NA,NA,0.466666666666667,0.633333333333333
"SON","01049000",-0.000161809713533315,-0.00599187101373296,0,0,0,0
"DJF","01049000",0.0438679543644906,0.0537894538578254,0,0,0,0
"MAM","01049000",-0.0596732191741502,-0.0832741367705151,0,0,0,0
