"Year.st","Year.en","Subregion","N.total","N.Inc","N.No","N.Dec","Shift","Ratio.Sites","Ratio.Sites.LL","Ratio.Sites.UL"
1950,1979,"Northeast",733,56,590,87,"No",80.4911323328786,77.762619372442,83.267503453595
1950,1979,"Southeast",860,31,649,180,"Increasing",3.6046511627907,0.813953488372093,6.53206119857973
1950,1979,"Southeast",860,31,649,180,"Decreasing",20.9302325581395,18.1395348837209,23.8576425939286
1950,1979,"Southeast",860,31,649,180,"No",75.4651162790698,72.6744186046512,78.3925263148588
1950,1979,"Midwest",777,18,574,185,"Increasing",2.31660231660232,0,5.41628525571283
1950,1979,"Midwest",777,18,574,185,"Decreasing",23.8095238095238,20.7207207207207,26.9092067486343
1950,1979,"Midwest",777,18,574,185,"No",73.8738738738739,70.7850707850708,76.9735568129844
1950,1979,"GreatPlainsNorth",381,92,267,22,"Increasing",24.1469816272966,19.6850393700787,28.8528898270859
1950,1979,"GreatPlainsNorth",381,92,267,22,"Decreasing",5.7742782152231,1.31233595800525,10.4801864150124
1950,1979,"GreatPlainsNorth",381,92,267,22,"No",70.0787401574803,65.6167979002625,74.7846483572697
1950,1979,"Southwest",991,287,636,68,"Increasing",28.9606458123108,25.933400605449,32.0460072555189
1950,1979,"Southwest",991,287,636,68,"Decreasing",6.86175580221998,3.83451059535822,9.94711724542813
1950,1979,"Southwest",991,287,636,68,"No",64.1775983854692,61.1503531786075,67.2629598286774
1950,1979,"GreatPlainsSouth",468,85,354,29,"Increasing",18.1623931623932,14.5299145299145,22.133245670529
1950,1979,"GreatPlainsSouth",468,85,354,29,"Decreasing",6.1965811965812,2.56410256410256,10.1674337047171
1950,1979,"GreatPlainsSouth",468,85,354,29,"No",75.6410256410256,72.008547008547,79.6118781491615
1950,1979,"Northwest",406,93,303,10,"Increasing",22.9064039408867,18.7192118226601,27.1024838757171
1950,1979,"Northwest",406,93,303,10,"Decreasing",2.46305418719212,0,6.65913412202249
1950,1979,"Northwest",406,93,303,10,"No",74.6305418719212,70.4433497536946,78.8266218067515
1951,1980,"CONUS",4616,700,3403,513,"Increasing",15.1646447140381,13.9081455805893,16.4324933768626
1951,1980,"CONUS",4616,700,3403,513,"Decreasing",11.1135181975737,9.85701906412478,12.3813668603982
1951,1980,"CONUS",4616,700,3403,513,"No",73.7218370883882,72.4653379549393,74.9896857512127
1951,1980,"Northeast",733,62,596,75,"Increasing",8.45839017735334,5.86630286493861,11.2586500044395
1951,1980,"Northeast",733,62,596,75,"Decreasing",10.2319236016371,7.63983628922237,13.0321834287232
1951,1980,"Northeast",733,62,596,75,"No",81.3096862210095,78.7175989085948,84.1099460480957
1951,1980,"Southeast",860,33,674,153,"Increasing",3.83720930232558,1.16279069767442,6.57015544391592
1951,1980,"Southeast",860,33,674,153,"Decreasing",17.7906976744186,15.1162790697674,20.5236438160089
1951,1980,"Southeast",860,33,674,153,"No",78.3720930232558,75.6976744186046,81.1050391648462
1951,1980,"Midwest",777,18,601,158,"Increasing",2.31660231660232,0,5.31916157078861
1951,1980,"Midwest",777,18,601,158,"Decreasing",20.3346203346203,17.5032175032175,23.3371795888066
1951,1980,"Midwest",777,18,601,158,"No",77.3487773487773,74.5173745173745,80.3513366029637
1951,1980,"GreatPlainsNorth",381,92,266,23,"Increasing",24.1469816272966,19.6850393700787,28.8784078658335
1951,1980,"GreatPlainsNorth",381,92,266,23,"Decreasing",6.03674540682415,1.5748031496063,10.7681716453611
